Accession#   Title                                             Type  Additional Information                    
B0007X9UXS   God's Project                                     C     Number of Tracks: 15, Year Released: 2005 

G2742        Guido Gialdini - Parla                            W     Maker: Edison Blue Amberol                

A3           Hugs & Kisses                                     C     Number of Tracks: 14, Year Released: 1998 

CASHJ12      I Walk the Line                                   C     Number of Tracks: 25, Year Released: 1992 

B0001WPSCM   Infame                                            C     Number of Tracks: 14, Year Released: 2004 

I31698342    It's a Raggy Waltz                                W     Maker: NBC                                

B0000029DD   Jeff Buckley - Grace                              C     Number of Tracks: 32, Year Released: 1994 

POP753       Johnny Kidd Single                                V     Record Label: HMV, RPM: 45                

HL352697     Josh Groban: You Raise Me Up                      P     Pages: 7                                  

B000000OQI   Les Miserables                                    C     Number of Tracks: 20, Year Released: 1990 

SC0013327    Mad World                                         P     Pages: 3                                  

M000002H33   Master of Puppets                                 C     Number of Tracks: 12, Year Released: 2000 

M19908247    Masters of Turkish Music                          C     Number of Tracks: 20, Year Released: 1990 

M187617570   Masterworks Transcribed for Two Violins           P     Pages: 175                                

M915393444   Metamorphosis                                     V     Record Label: Abkco, RPM: 45              

B000000ORS   Miss Saigon                                       C     Number of Tracks: 20, Year Released: 1990 

ModestMouse1 Modest Mouse - Dramamine                          C     Number of Tracks: 15, Year Released: 1994 

ModestMouse2 Modest Mouse - Here it Comes                      C     Number of Tracks: 23, Year Released: 1996 

OCarolan4    No. 174                                           P     Pages: 3                                  

SC0013226    Nocturne in C# Minor                              P     Pages: 4                                  

O2479118     Ocean Boulevard                                   V     Record Label: RSO, RPM: 45                

O223         Oh Boy Classics Presents Roger Miller             C     Number of Tracks: 16, Year Released: 2000 

A1           Ole                                               C     Number of Tracks: 4, Year Released: 1989  

O199110301   Operatic osmosis (Review of)                      P     Pages: 3                                  

A5           Original Sound Track from the Film Black Orpheus  C     Number of Tracks: 14, Year Released: 1989 

P20783B      PAUL WHITEMAN Mississippi Mud                     V     Record Label: Victor, RPM: 78             

P1333408     Paul & Linda McCartney - Uncle Albert             V     Record Label: Columbia, RPM: 45           

66399        Piano concerto no 21 in C                         C     Number of Tracks: 2, Year Released: 2004  

P19242465    Piano works performed by Peter Serkin             C     Number of Tracks: 19, Year Released: 1985 

OCarolan6    Planxty Sir Colonel John Irwin                    V     Record Label: Shaunacy Records, RPM: 33   

0670062723   Popular Piano Tunes                               P     Pages: 192                                

SC0023354    Prelude in E Minor Op 28 No 4                     P     Pages: 2                                  

R1061        Ralph Errolle Sings Ave Maria                     W     Maker: Edison Amberol                     

OCarolan1    Ramble to Cashel                                  P     Pages: 2                                  

R19824562    Rands                                             C     Number of Tracks: 3, Year Released: 1985  

B00006JL4J   Rod Stewart It Had to Be You                      C     Number of Tracks: 23, Year Released: 2002 

R12129       Roger Miller Classics                             C     Number of Tracks: 18, Year Released: 2002 

OCarolan3    Si Beag, Si Mohr                                  W     Maker: Pathe                              

SP           Silversun Pickups - The Royal We                  C     Number of Tracks: 11, Year Released: 2005 

OCarolan5    Sir Festus Burke                                  W     Maker: RCA                                

S465752      Steel Wheels                                      V     Record Label: CBS, RPM: 78                

S0001        Sunrise                                           C     Number of Tracks: 38, Year Released: 1999 

MG           Sweet Honesty                                     C     Number of Tracks: 21, Year Released: 1994 

S007450994   Symphonic Elvis                                   C     Number of Tracks: 12, Year Released: 1996 

A2           Teaser and the Firecat                            C     Number of Tracks: 10, Year Released: 1970 

ST2442       The Beatles RUBBER SOUL                           V     Record Label: Apple, RPM: 33              

A4           The Concerto Project Vol.1                        C     Number of Tracks: 7, Year Released: 2004  

BOSSTONES    The Impression that I Get                         C     Number of Tracks: 23, Year Released: 2005 

I038551723   The Innocent man                                  P     Pages: 368                                

A1           The Marines Hymn                                  P     Pages: 2                                  

B63942516    The Old Ball and Chain                            W     Maker: RCA                                

HL360830     The Phantom of the Opera                          P     Pages: 72                                 

B00004YTY2   The Phantom of the Opera                          C     Number of Tracks: 17, Year Released: 2001 

TradIrish1   The Rights of Man                                 W     Maker: Edison                             

SIMONGARF    The Sound of Silence                              C     Number of Tracks: 15, Year Released: 1987 

60025        The Strokes - Room on Fire                        C     Number of Tracks: 31, Year Released: 2005 

Trad         The Wexford Carol                                 C     Number of Tracks: 12, Year Released: 1985 

FF6          Tina                                              P     Pages: 5                                  

B000ERU4JG   Todo Esta el Reves                                C     Number of Tracks: 13, Year Released: 2006 

Tool001      Tool - Forty Six & 2                              C     Number of Tracks: 16, Year Released: 2009 

MN0050761    Victor's Piano Solo                               P     Pages: 2                                  

Y198356YW    Yehudi Wyner                                      C     Number of Tracks: 7, Year Released: 1985  

